         3	     22632
  0.00290820	  0.00073646	  0.00000000
  0.00251150	  0.00164084	  0.00000000
  0.00203184	  0.00220717	  0.00000000
  0.00142784	  0.00263842	  0.00000000
  0.00049378	  0.00295908	  0.00000000
 -0.00024774	  0.00298975	  0.00000000
 -0.00097410	  0.00283745	  0.00000000
 -0.00164084	  0.00251150	  0.00000000
 -0.00236742	  0.00184264	  0.00000000
 -0.00274732	  0.00120509	  0.00000000
 -0.00295908	  0.00049378	  0.00000000
 -0.00295908	 -0.00049378	  0.00000000
 -0.00274732	 -0.00120509	  0.00000000
 -0.00236742	 -0.00184264	  0.00000000
 -0.00164084	 -0.00251150	  0.00000000
 -0.00097410	 -0.00283745	  0.00000000
 -0.00024774	 -0.00298975	  0.00000000
  0.00049378	 -0.00295908	  0.00000000
  0.00142784	 -0.00263842	  0.00000000
  0.00203184	 -0.00220717	  0.00000000
  0.00251150	 -0.00164084	  0.00000000
  0.00290820	 -0.00073646	  0.00000000
  0.00300000	  0.00000000	  0.00000000
  0.00387919	  0.00097565	  0.00000000
  0.00352405	  0.00189237	  0.00000000
  0.00295604	  0.00269478	  0.00000000
  0.00220946	  0.00333441	  0.00000000
  0.00132942	  0.00377262	  0.00000000
  0.00036907	  0.00398294	  0.00000000
 -0.00036907	  0.00398294	  0.00000000
 -0.00132942	  0.00377262	  0.00000000
 -0.00220946	  0.00333441	  0.00000000
 -0.00295604	  0.00269478	  0.00000000
 -0.00352405	  0.00189237	  0.00000000
 -0.00387919	  0.00097565	  0.00000000
 -0.00400000	  0.00000000	  0.00000000
 -0.00387919	 -0.00097565	  0.00000000
 -0.00352405	 -0.00189237	  0.00000000
 -0.00295604	 -0.00269478	  0.00000000
 -0.00220946	 -0.00333441	  0.00000000
 -0.00132942	 -0.00377262	  0.00000000
 -0.00036907	 -0.00398294	  0.00000000
  0.00036907	 -0.00398294	  0.00000000
  0.00132942	 -0.00377262	  0.00000000
  0.00220946	 -0.00333441	  0.00000000
  0.00295604	 -0.00269478	  0.00000000
  0.00352405	 -0.00189237	  0.00000000
  0.00387919	 -0.00097565	  0.00000000
  0.00400000	  0.00000000	  0.00000000
  0.00298975	  0.00024774	  0.00000000
  0.00295908	  0.00049378	  0.00000000
  0.00283745	  0.00097410	  0.00000000
  0.00274732	  0.00120509	  0.00000000
  0.00263842	  0.00142784	  0.00000000
  0.00236742	  0.00184264	  0.00000000
  0.00220717	  0.00203184	  0.00000000
  0.00184264	  0.00236742	  0.00000000
  0.00164084	  0.00251150	  0.00000000
  0.00120509	  0.00274732	  0.00000000
  0.00097410	  0.00283745	  0.00000000
  0.00073646	  0.00290820	  0.00000000
  0.00024774	  0.00298975	  0.00000000
  0.00000000	  0.00300000	  0.00000000
 -0.00049378	  0.00295908	  0.00000000
 -0.00073646	  0.00290820	  0.00000000
 -0.00120509	  0.00274732	  0.00000000
 -0.00142784	  0.00263842	  0.00000000
 -0.00184264	  0.00236742	  0.00000000
 -0.00203184	  0.00220717	  0.00000000
 -0.00220717	  0.00203184	  0.00000000
 -0.00251150	  0.00164084	  0.00000000
 -0.00263842	  0.00142784	  0.00000000
 -0.00283745	  0.00097410	  0.00000000
 -0.00290820	  0.00073646	  0.00000000
 -0.00298975	  0.00024774	  0.00000000
 -0.00300000	  0.00000000	  0.00000000
 -0.00298975	 -0.00024774	  0.00000000
 -0.00290820	 -0.00073646	  0.00000000
 -0.00283745	 -0.00097410	  0.00000000
 -0.00263842	 -0.00142784	  0.00000000
 -0.00251150	 -0.00164084	  0.00000000
 -0.00220717	 -0.00203184	  0.00000000
 -0.00203184	 -0.00220717	  0.00000000
 -0.00184264	 -0.00236742	  0.00000000
 -0.00142784	 -0.00263842	  0.00000000
 -0.00120509	 -0.00274732	  0.00000000
 -0.00073646	 -0.00290820	  0.00000000
 -0.00049378	 -0.00295908	  0.00000000
  0.00000000	 -0.00300000	  0.00000000
  0.00024774	 -0.00298975	  0.00000000
  0.00073646	 -0.00290820	  0.00000000
  0.00097410	 -0.00283745	  0.00000000
  0.00120509	 -0.00274732	  0.00000000
  0.00164084	 -0.00251150	  0.00000000
  0.00184264	 -0.00236742	  0.00000000
  0.00220717	 -0.00203184	  0.00000000
  0.00236742	 -0.00184264	  0.00000000
  0.00263842	 -0.00142784	  0.00000000
  0.00274732	 -0.00120509	  0.00000000
  0.00283745	 -0.00097410	  0.00000000
  0.00295908	 -0.00049378	  0.00000000
  0.00298975	 -0.00024774	  0.00000000
  0.00399241	  0.00024624	  0.00000000
  0.00396968	  0.00049155	  0.00000000
  0.00393189	  0.00073500	  0.00000000
  0.00381177	  0.00121261	  0.00000000
  0.00372989	  0.00144497	  0.00000000
  0.00363386	  0.00167184	  0.00000000
  0.00340087	  0.00210573	  0.00000000
  0.00326479	  0.00231110	  0.00000000
  0.00311632	  0.00250770	  0.00000000
  0.00278454	  0.00287165	  0.00000000
  0.00260247	  0.00303762	  0.00000000
  0.00241054	  0.00319207	  0.00000000
  0.00200000	  0.00346410	  0.00000000
  0.00178295	  0.00358065	  0.00000000
  0.00155914	  0.00368362	  0.00000000
  0.00109465	  0.00384730	  0.00000000
  0.00085573	  0.00390739	  0.00000000
  0.00061357	  0.00395266	  0.00000000
  0.00012318	  0.00399810	  0.00000000
 -0.00012318	  0.00399810	  0.00000000
 -0.00061357	  0.00395266	  0.00000000
 -0.00085573	  0.00390739	  0.00000000
 -0.00109465	  0.00384730	  0.00000000
 -0.00155914	  0.00368362	  0.00000000
 -0.00178295	  0.00358065	  0.00000000
 -0.00200000	  0.00346410	  0.00000000
 -0.00241054	  0.00319207	  0.00000000
 -0.00260247	  0.00303762	  0.00000000
 -0.00278454	  0.00287165	  0.00000000
 -0.00311632	  0.00250770	  0.00000000
 -0.00326479	  0.00231110	  0.00000000
 -0.00340087	  0.00210573	  0.00000000
 -0.00363386	  0.00167184	  0.00000000
 -0.00372989	  0.00144497	  0.00000000
 -0.00381177	  0.00121261	  0.00000000
 -0.00393189	  0.00073500	  0.00000000
 -0.00396968	  0.00049155	  0.00000000
 -0.00399241	  0.00024624	  0.00000000
 -0.00399241	 -0.00024624	  0.00000000
 -0.00396968	 -0.00049155	  0.00000000
 -0.00393189	 -0.00073500	  0.00000000
 -0.00381177	 -0.00121261	  0.00000000
 -0.00372989	 -0.00144497	  0.00000000
 -0.00363386	 -0.00167184	  0.00000000
 -0.00340087	 -0.00210573	  0.00000000
 -0.00326479	 -0.00231110	  0.00000000
 -0.00311632	 -0.00250770	  0.00000000
 -0.00278454	 -0.00287165	  0.00000000
 -0.00260247	 -0.00303762	  0.00000000
 -0.00241054	 -0.00319207	  0.00000000
 -0.00200000	 -0.00346410	  0.00000000
 -0.00178295	 -0.00358065	  0.00000000
 -0.00155914	 -0.00368362	  0.00000000
 -0.00109465	 -0.00384730	  0.00000000
 -0.00085573	 -0.00390739	  0.00000000
 -0.00061357	 -0.00395266	  0.00000000
 -0.00012318	 -0.00399810	  0.00000000
  0.00012318	 -0.00399810	  0.00000000
  0.00061357	 -0.00395266	  0.00000000
  0.00085573	 -0.00390739	  0.00000000
  0.00109465	 -0.00384730	  0.00000000
  0.00155914	 -0.00368362	  0.00000000
  0.00178295	 -0.00358065	  0.00000000
  0.00200000	 -0.00346410	  0.00000000
  0.00241054	 -0.00319207	  0.00000000
  0.00260247	 -0.00303762	  0.00000000
  0.00278454	 -0.00287165	  0.00000000
  0.00311632	 -0.00250770	  0.00000000
  0.00326479	 -0.00231110	  0.00000000
  0.00340087	 -0.00210573	  0.00000000
  0.00363386	 -0.00167184	  0.00000000
  0.00372989	 -0.00144497	  0.00000000
  0.00381177	 -0.00121261	  0.00000000
  0.00393189	 -0.00073500	  0.00000000
  0.00396968	 -0.00049155	  0.00000000
  0.00399241	 -0.00024624	  0.00000000
 -0.00176123	  0.00265898	  0.00000000
 -0.00196697	  0.00250211	  0.00000000
 -0.00252769	  0.00194525	  0.00000000
 -0.00267756	  0.00174425	  0.00000000
 -0.00295382	  0.00128601	  0.00000000
 -0.00301613	  0.00102091	  0.00000000
 -0.00317459	  0.00028219	  0.00000000
 -0.00371713	 -0.00068564	  0.00000000
 -0.00346396	 -0.00158748	  0.00000000
 -0.00294199	 -0.00236032	  0.00000000
 -0.00174434	 -0.00266345	  0.00000000
 -0.00233051	 -0.00214707	  0.00000000
 -0.00102899	  0.00302487	  0.00000000
 -0.00128566	  0.00292524	  0.00000000
 -0.00023952	  0.00316765	  0.00000000
 -0.00049839	  0.00314863	  0.00000000
  0.00058608	  0.00372045	  0.00000000
  0.00001401	  0.00317066	  0.00000000
  0.00124781	  0.00288715	  0.00000000
  0.00076585	  0.00307264	  0.00000000
 -0.00150427	 -0.00278608	  0.00000000
 -0.00103797	 -0.00299467	  0.00000000
 -0.00079381	 -0.00307287	  0.00000000
 -0.00000191	 -0.00318262	  0.00000000
  0.00076482	 -0.00307852	  0.00000000
  0.00190602	 -0.00330941	  0.00000000
  0.00265237	 -0.00267935	  0.00000000
  0.00323765	 -0.00199192	  0.00000000
  0.00308701	 -0.00079922	  0.00000000
  0.00317911	 -0.00000593	  0.00000000
  0.00315650	 -0.00053947	  0.00000000
  0.00290844	 -0.00128026	  0.00000000
  0.00263603	 -0.00176196	  0.00000000
  0.00213695	 -0.00232928	  0.00000000
  0.00148670	 -0.00280682	  0.00000000
  0.00051326	 -0.00312888	  0.00000000
 -0.00027264	 -0.00318362	  0.00000000
 -0.00264304	 -0.00175438	  0.00000000
 -0.00301488	 -0.00103037	  0.00000000
 -0.00312915	 -0.00053380	  0.00000000
 -0.00312473	  0.00052924	  0.00000000
  0.00147461	  0.00277337	  0.00000000
  0.00191421	  0.00254174	  0.00000000
  0.00217837	  0.00243710	  0.00000000
  0.00265317	  0.00180650	  0.00000000
  0.00316465	  0.00025280	  0.00000000
  0.00291681	  0.00124358	  0.00000000
  0.00249552	  0.00198084	  0.00000000
  0.00313847	  0.00051314	  0.00000000
  0.00374070	  0.00071373	  0.00000000
  0.00284437	  0.00140009	  0.00000000
  0.00343474	  0.00154879	  0.00000000
  0.00281063	  0.00166393	  0.00000000
  0.00295114	  0.00234999	  0.00000000
  0.00236590	  0.00218934	  0.00000000
  0.00231146	  0.00304973	  0.00000000
  0.00169365	  0.00265675	  0.00000000
  0.00150084	  0.00349648	  0.00000000
  0.00101576	  0.00299705	  0.00000000
  0.00051575	  0.00312427	  0.00000000
  0.00026554	  0.00315601	  0.00000000
 -0.00015441	  0.00377465	  0.00000000
 -0.00076506	  0.00311043	  0.00000000
 -0.00103826	  0.00366956	  0.00000000
 -0.00153816	  0.00280955	  0.00000000
 -0.00190327	  0.00332709	  0.00000000
 -0.00216626	  0.00234147	  0.00000000
 -0.00260322	  0.00273847	  0.00000000
 -0.00240517	  0.00217348	  0.00000000
 -0.00321922	  0.00198540	  0.00000000
 -0.00283418	  0.00153509	  0.00000000
 -0.00365978	  0.00115753	  0.00000000
 -0.00306907	  0.00076776	  0.00000000
 -0.00380096	  0.00024031	  0.00000000
 -0.00323358	  0.00000454	  0.00000000
 -0.00317527	 -0.00028178	  0.00000000
 -0.00307736	 -0.00078039	  0.00000000
 -0.00294865	 -0.00131794	  0.00000000
 -0.00278451	 -0.00154577	  0.00000000
 -0.00249346	 -0.00195472	  0.00000000
 -0.00215341	 -0.00232838	  0.00000000
 -0.00195974	 -0.00250173	  0.00000000
 -0.00225951	 -0.00305829	  0.00000000
 -0.00127356	 -0.00289776	  0.00000000
 -0.00150204	 -0.00347033	  0.00000000
 -0.00053941	 -0.00313747	  0.00000000
 -0.00055402	 -0.00376459	  0.00000000
  0.00009722	 -0.00378594	  0.00000000
  0.00025880	 -0.00316296	  0.00000000
  0.00105478	 -0.00364372	  0.00000000
  0.00101287	 -0.00300723	  0.00000000
  0.00124765	 -0.00290574	  0.00000000
  0.00177321	 -0.00271827	  0.00000000
  0.00195372	 -0.00250104	  0.00000000
  0.00231656	 -0.00215630	  0.00000000
  0.00248620	 -0.00196890	  0.00000000
  0.00281542	 -0.00154634	  0.00000000
  0.00300111	 -0.00104374	  0.00000000
  0.00362242	 -0.00110956	  0.00000000
  0.00317899	 -0.00026907	  0.00000000
  0.00377996	 -0.00024261	  0.00000000
  0.00355982	 -0.00000102	  0.00000000
  0.00376487	  0.00024849	  0.00000000
  0.00375312	  0.00048746	  0.00000000
  0.00371170	  0.00092286	  0.00000000
  0.00363391	  0.00112396	  0.00000000
  0.00353788	  0.00133307	  0.00000000
  0.00332136	  0.00176710	  0.00000000
  0.00320852	  0.00197708	  0.00000000
  0.00310444	  0.00217721	  0.00000000
  0.00277626	  0.00251277	  0.00000000
  0.00261245	  0.00269947	  0.00000000
  0.00246449	  0.00288605	  0.00000000
  0.00212992	  0.00316607	  0.00000000
  0.00192629	  0.00328445	  0.00000000
  0.00171337	  0.00339908	  0.00000000
  0.00128367	  0.00357823	  0.00000000
  0.00106135	  0.00363513	  0.00000000
  0.00082834	  0.00368025	  0.00000000
  0.00031184	  0.00353589	  0.00000000
  0.00009115	  0.00376785	  0.00000000
 -0.00039331	  0.00377297	  0.00000000
 -0.00062094	  0.00376841	  0.00000000
 -0.00083330	  0.00374443	  0.00000000
 -0.00125450	  0.00357667	  0.00000000
 -0.00147964	  0.00348785	  0.00000000
 -0.00170217	  0.00340969	  0.00000000
 -0.00207940	  0.00320460	  0.00000000
 -0.00225247	  0.00305790	  0.00000000
 -0.00242820	  0.00290288	  0.00000000
 -0.00276862	  0.00255590	  0.00000000
 -0.00291974	  0.00236432	  0.00000000
 -0.00308006	  0.00217937	  0.00000000
 -0.00330458	  0.00176707	  0.00000000
 -0.00341792	  0.00153738	  0.00000000
 -0.00355437	  0.00134642	  0.00000000
 -0.00370871	  0.00094324	  0.00000000
 -0.00373114	  0.00070912	  0.00000000
 -0.00376834	  0.00046907	  0.00000000
 -0.00381041	  0.00001021	  0.00000000
 -0.00379404	 -0.00022162	  0.00000000
 -0.00376134	 -0.00045300	  0.00000000
 -0.00366656	 -0.00091988	  0.00000000
 -0.00360921	 -0.00115051	  0.00000000
 -0.00354454	 -0.00137368	  0.00000000
 -0.00335878	 -0.00178840	  0.00000000
 -0.00323348	 -0.00198137	  0.00000000
 -0.00309380	 -0.00217121	  0.00000000
 -0.00277865	 -0.00254495	  0.00000000
 -0.00260596	 -0.00272323	  0.00000000
 -0.00242968	 -0.00289379	  0.00000000
 -0.00195779	 -0.00310488	  0.00000000
 -0.00192828	 -0.00333546	  0.00000000
 -0.00172923	 -0.00341360	  0.00000000
 -0.00125791	 -0.00354942	  0.00000000
 -0.00101408	 -0.00362773	  0.00000000
 -0.00077830	 -0.00369870	  0.00000000
 -0.00034358	 -0.00381373	  0.00000000
 -0.00013158	 -0.00380934	  0.00000000
  0.00033734	 -0.00375808	  0.00000000
  0.00058162	 -0.00372524	  0.00000000
  0.00082337	 -0.00368667	  0.00000000
  0.00127633	 -0.00358846	  0.00000000
  0.00143457	 -0.00334199	  0.00000000
  0.00170870	 -0.00340691	  0.00000000
  0.00208105	 -0.00316276	  0.00000000
  0.00225742	 -0.00299485	  0.00000000
  0.00246019	 -0.00283592	  0.00000000
  0.00282673	 -0.00252724	  0.00000000
  0.00298395	 -0.00236984	  0.00000000
  0.00312221	 -0.00219117	  0.00000000
  0.00333224	 -0.00177863	  0.00000000
  0.00343585	 -0.00155673	  0.00000000
  0.00353320	 -0.00133166	  0.00000000
  0.00353742	 -0.00078336	  0.00000000
  0.00377194	 -0.00069135	  0.00000000
  0.00378438	 -0.00047700	  0.00000000
 -0.00246585	 -0.00227026	  0.00000000
  0.00104515	  0.00342238	  0.00000000
  0.00324884	  0.00143233	  0.00000000
  0.00282458	  0.00218162	  0.00000000
  0.00193484	  0.00273820	  0.00000000
  0.00130699	  0.00302679	  0.00000000
 -0.00043680	  0.00355516	  0.00000000
 -0.00243274	  0.00261258	  0.00000000
 -0.00307117	  0.00190692	  0.00000000
 -0.00354488	  0.00110673	  0.00000000
 -0.00342791	  0.00015102	  0.00000000
 -0.00360828	 -0.00018910	  0.00000000
 -0.00119056	 -0.00334506	  0.00000000
 -0.00046395	 -0.00358004	  0.00000000
  0.00027714	 -0.00334478	  0.00000000
  0.00106438	 -0.00320245	  0.00000000
  0.00336322	 -0.00000619	  0.00000000
  0.00332619	  0.00052059	  0.00000000
  0.00331267	  0.00082544	  0.00000000
  0.00297951	  0.00186823	  0.00000000
  0.00242008	  0.00254949	  0.00000000
  0.00222551	  0.00293824	  0.00000000
  0.00173332	  0.00281577	  0.00000000
  0.00144608	  0.00332346	  0.00000000
  0.00079590	  0.00325181	  0.00000000
  0.00003402	  0.00335405	  0.00000000
 -0.00078982	  0.00333796	  0.00000000
 -0.00066510	  0.00356538	  0.00000000
 -0.00108883	  0.00320721	  0.00000000
 -0.00166761	  0.00299673	  0.00000000
 -0.00189865	  0.00279818	  0.00000000
 -0.00271300	  0.00220973	  0.00000000
 -0.00319953	  0.00135328	  0.00000000
 -0.00361615	  0.00021500	  0.00000000
 -0.00336331	 -0.00034573	  0.00000000
 -0.00320613	 -0.00106085	  0.00000000
 -0.00278283	 -0.00188604	  0.00000000
 -0.00228659	 -0.00245299	  0.00000000
 -0.00185568	 -0.00283878	  0.00000000
 -0.00135171	 -0.00305743	  0.00000000
  0.00005535	 -0.00357105	  0.00000000
  0.00103535	 -0.00343912	  0.00000000
  0.00129357	 -0.00305955	  0.00000000
  0.00150797	 -0.00298231	  0.00000000
  0.00207767	 -0.00280217	  0.00000000
  0.00242994	 -0.00230421	  0.00000000
  0.00295397	 -0.00187676	  0.00000000
  0.00300541	 -0.00152634	  0.00000000
  0.00326235	 -0.00087805	  0.00000000
  0.00336948	 -0.00027735	  0.00000000
 -0.00207311	  0.00292516	  0.00000000
 -0.00282672	  0.00186888	  0.00000000
 -0.00322810	  0.00079704	  0.00000000
 -0.00350649	  0.00069676	  0.00000000
 -0.00141352	  0.00328894	  0.00000000
  0.00006011	  0.00355213	  0.00000000
  0.00185208	  0.00312199	  0.00000000
 -0.00187068	 -0.00323302	  0.00000000
 -0.00093519	 -0.00342714	  0.00000000
  0.00055607	 -0.00350973	  0.00000000
  0.00363616	 -0.00066026	  0.00000000
  0.00001107	 -0.00337103	  0.00000000
  0.00354685	  0.00025263	  0.00000000
  0.00346229	  0.00100635	  0.00000000
  0.00296265	  0.00151887	  0.00000000
  0.00053989	  0.00330374	  0.00000000
 -0.00019094	  0.00355601	  0.00000000
  0.00028734	  0.00333655	  0.00000000
 -0.00094997	  0.00349575	  0.00000000
 -0.00182682	  0.00320908	  0.00000000
 -0.00243318	  0.00236070	  0.00000000
 -0.00316966	 -0.00128427	  0.00000000
 -0.00326127	 -0.00082307	  0.00000000
 -0.00306026	 -0.00153412	  0.00000000
 -0.00030032	 -0.00340682	  0.00000000
  0.00079145	 -0.00326235	  0.00000000
  0.00182783	 -0.00318893	  0.00000000
  0.00172347	 -0.00297430	  0.00000000
  0.00224799	 -0.00246967	  0.00000000
  0.00308152	 -0.00134672	  0.00000000
  0.00290689	 -0.00174454	  0.00000000
  0.00353350	  0.00050038	  0.00000000
  0.00335356	  0.00121337	  0.00000000
  0.00297334	  0.00208272	  0.00000000
  0.00230506	  0.00277076	  0.00000000
  0.00164709	  0.00323058	  0.00000000
  0.00081089	  0.00345991	  0.00000000
 -0.00081141	  0.00360573	  0.00000000
 -0.00165206	  0.00322179	  0.00000000
 -0.00225490	  0.00276944	  0.00000000
 -0.00292747	  0.00203890	  0.00000000
 -0.00341719	  0.00120597	  0.00000000
 -0.00356789	  0.00043224	  0.00000000
 -0.00356115	 -0.00040602	  0.00000000
 -0.00340870	 -0.00109909	  0.00000000
 -0.00307426	 -0.00184706	  0.00000000
 -0.00243724	 -0.00258353	  0.00000000
 -0.00156896	 -0.00293258	  0.00000000
 -0.00171558	 -0.00324105	  0.00000000
 -0.00085982	 -0.00324483	  0.00000000
 -0.00068913	 -0.00350024	  0.00000000
  0.00080432	 -0.00347025	  0.00000000
  0.00164549	 -0.00321004	  0.00000000
  0.00234068	 -0.00264820	  0.00000000
  0.00298882	 -0.00208632	  0.00000000
  0.00325159	 -0.00144950	  0.00000000
  0.00358951	 -0.00049727	  0.00000000
 -0.00111096	 -0.00316274	  0.00000000
 -0.00336699	  0.00035927	  0.00000000
 -0.00228132	  0.00248379	  0.00000000
  0.00318395	  0.00110127	  0.00000000
 -0.00048514	  0.00334328	  0.00000000
  0.00053507	 -0.00331018	  0.00000000
  0.00337751	 -0.00059393	  0.00000000
 -0.00135936	  0.00310273	  0.00000000
  0.00334853	  0.00025528	  0.00000000
 -0.00225172	 -0.00275971	  0.00000000
 -0.00351182	 -0.00063536	  0.00000000
  0.00253623	 -0.00248950	  0.00000000
  0.00123460	 -0.00341771	  0.00000000
 -0.00336191	 -0.00131488	  0.00000000
 -0.00293355	 -0.00202839	  0.00000000
  0.00334667	 -0.00122165	  0.00000000
  0.00056287	  0.00350241	  0.00000000
  0.00308302	 -0.00190958	  0.00000000
  0.00356847	 -0.00025715	  0.00000000
 -0.00190918	  0.00308227	  0.00000000
 -0.00353976	  0.00093964	  0.00000000
  0.00205835	  0.00297171	  0.00000000
 -0.00117176	  0.00338554	  0.00000000
 -0.00259200	  0.00243474	  0.00000000
 -0.00304408	  0.00168027	  0.00000000
  0.00312862	  0.00164945	  0.00000000
  0.00259565	  0.00230744	  0.00000000
  0.00192533	 -0.00302860	  0.00000000
 -0.00363897	  0.00001484	  0.00000000
 -0.00267949	  0.00201060	  0.00000000
 -0.00319333	  0.00104087	  0.00000000
  0.00212654	  0.00272534	  0.00000000
  0.00152490	  0.00291598	  0.00000000
  0.00261493	  0.00208139	  0.00000000
  0.00308024	  0.00132718	  0.00000000
  0.00124700	  0.00339825	  0.00000000
 -0.00209866	  0.00263539	  0.00000000
 -0.00330224	  0.00058736	  0.00000000
  0.00271212	 -0.00234928	  0.00000000
  0.00312370	 -0.00167993	  0.00000000
 -0.00346089	 -0.00086931	  0.00000000
  0.00030553	 -0.00354267	  0.00000000
 -0.00320253	 -0.00167655	  0.00000000
 -0.00261437	 -0.00240242	  0.00000000
 -0.00147215	 -0.00323851	  0.00000000
 -0.00022162	  0.00335327	  0.00000000
 -0.00059888	 -0.00331753	  0.00000000
 -0.00032800	 -0.00367064	  0.00000000
  0.00033917	  0.00374948	  0.00000000
 -0.00209864	 -0.00321096	  0.00000000
  0.00149694	 -0.00350533	  0.00000000
  0.00370813	 -0.00089827	  0.00000000
  0.00377431	  0.00000205	  0.00000000
  0.00309615	  0.00077731	  0.00000000
  0.00301045	  0.00102645	  0.00000000
  0.00276741	  0.00198516	  0.00000000
  0.00343771	 -0.00099316	  0.00000000
  0.00286496	 -0.00223763	  0.00000000
 -0.00330538	 -0.00150879	  0.00000000
 -0.00277989	 -0.00221579	  0.00000000
 -0.00207855	 -0.00293906	  0.00000000
  0.00357144	  0.00088618	  0.00000000
  0.00353718	  0.00073130	  0.00000000
  0.00317034	 -0.00112309	  0.00000000
  0.00107533	  0.00318280	  0.00000000
  0.00274916	 -0.00189210	  0.00000000
  0.00262318	 -0.00212148	  0.00000000
  0.00208190	 -0.00259117	  0.00000000
 -0.00208866	 -0.00263392	  0.00000000
 -0.00263067	 -0.00207916	  0.00000000
 -0.00292414	 -0.00169668	  0.00000000
 -0.00178944	 -0.00306238	  0.00000000
 -0.00317776	 -0.00144528	  0.00000000
 -0.00331400	 -0.00058261	  0.00000000
 -0.00342346	 -0.00012797	  0.00000000
  0.00193227	  0.00289469	  0.00000000
  0.00177734	  0.00297611	  0.00000000
  0.00158333	  0.00306877	  0.00000000
  0.00138700	  0.00316360	  0.00000000
  0.00123019	  0.00325380	  0.00000000
  0.00136219	 -0.00319954	  0.00000000
  0.00121668	 -0.00327853	  0.00000000
  0.00151126	 -0.00312602	  0.00000000
 -0.00161206	 -0.00306241	  0.00000000
 -0.00337321	  0.00100514	  0.00000000
  0.00286434	 -0.00199065	  0.00000000
  0.00278171	 -0.00212020	  0.00000000
 -0.00017673	 -0.00361183	  0.00000000
 -0.00349831	  0.00001408	  0.00000000
 -0.00335955	  0.00083097	  0.00000000
  0.00290820	  0.00073646	  0.00025000
  0.00251150	  0.00164084	  0.00025000
  0.00203184	  0.00220717	  0.00025000
  0.00142784	  0.00263842	  0.00025000
  0.00049378	  0.00295908	  0.00025000
 -0.00024774	  0.00298975	  0.00025000
 -0.00097410	  0.00283745	  0.00025000
 -0.00164084	  0.00251150	  0.00025000
 -0.00236742	  0.00184264	  0.00025000
 -0.00274732	  0.00120509	  0.00025000
 -0.00295908	  0.00049378	  0.00025000
 -0.00295908	 -0.00049378	  0.00025000
 -0.00274732	 -0.00120509	  0.00025000
 -0.00236742	 -0.00184264	  0.00025000
 -0.00164084	 -0.00251150	  0.00025000
 -0.00097410	 -0.00283745	  0.00025000
 -0.00024774	 -0.00298975	  0.00025000
  0.00049378	 -0.00295908	  0.00025000
  0.00142784	 -0.00263842	  0.00025000
  0.00203184	 -0.00220717	  0.00025000
  0.00251150	 -0.00164084	  0.00025000
  0.00290820	 -0.00073646	  0.00025000
  0.00300000	  0.00000000	  0.00025000
  0.00387919	  0.00097565	  0.00025000
  0.00352405	  0.00189237	  0.00025000
  0.00295604	  0.00269478	  0.00025000
  0.00220946	  0.00333441	  0.00025000
  0.00132942	  0.00377262	  0.00025000
  0.00036907	  0.00398294	  0.00025000
 -0.00036907	  0.00398294	  0.00025000
 -0.00132942	  0.00377262	  0.00025000
 -0.00220946	  0.00333441	  0.00025000
 -0.00295604	  0.00269478	  0.00025000
 -0.00352405	  0.00189237	  0.00025000
 -0.00387919	  0.00097565	  0.00025000
 -0.00400000	  0.00000000	  0.00025000
 -0.00387919	 -0.00097565	  0.00025000
 -0.00352405	 -0.00189237	  0.00025000
 -0.00295604	 -0.00269478	  0.00025000
 -0.00220946	 -0.00333441	  0.00025000
 -0.00132942	 -0.00377262	  0.00025000
 -0.00036907	 -0.00398294	  0.00025000
  0.00036907	 -0.00398294	  0.00025000
  0.00132942	 -0.00377262	  0.00025000
  0.00220946	 -0.00333441	  0.00025000
  0.00295604	 -0.00269478	  0.00025000
  0.00352405	 -0.00189237	  0.00025000
  0.00387919	 -0.00097565	  0.00025000
  0.00400000	  0.00000000	  0.00025000
  0.00298975	  0.00024774	  0.00025000
  0.00295908	  0.00049378	  0.00025000
  0.00283745	  0.00097410	  0.00025000
  0.00274732	  0.00120509	  0.00025000
  0.00263842	  0.00142784	  0.00025000
  0.00236742	  0.00184264	  0.00025000
  0.00220717	  0.00203184	  0.00025000
  0.00184264	  0.00236742	  0.00025000
  0.00164084	  0.00251150	  0.00025000
